order_id,customer_id,order_ts,product_sku,quantity,unit_price,channel,payment_method,status,discount_code
ORD-000021,CUST-0406,2024-04-26 20:46:00,EL501,13,17.25,store,card,completed,
ORD-000022,CUST-0213,2024-01-09 15:48:00,EL501,4,16.72,app,card,completed,
ORD-000023,CUST-0314,2024-05-24 20:52:00,PB200,18,3.29,web,giftcard,completed,SPRING10
ORD-000024,CUST-0194,2024-05-07 06:32:00,NB050,6,4.03,app,card,pending,SPRING10
ORD-000025,CUST-0402,2024-03-23 21:57:00,EL501,7,20.37,store,card,completed,WELCOME
ORD-000026,CUST-0055,2024-11-03 15:02:00,NB120,8,12.02,web,card,completed,WELCOME
ORD-000027,CUST-0117,2024-02-11 19:51:00,PT010,1,6.71,partner,card,completed,VIP
ORD-000028,CUST-0045,2024-05-19 06:14:00,EL501,4,19.32,app,card,completed,WELCOME
ORD-000029,CUST-0323,2024-03-08 14:31:00,PT010,11,7.4,web,paypal,pending,SPRING10
ORD-000030,CUST-0108,2024-01-30 09:52:00,NB050,24,4.79,app,card,completed,BULK15
ORD-000031,CUST-0146,2024-05-04 09:04:00,PB200,22,2.88,app,giftcard,completed,SPRING10
ORD-000032,CUST-0385,2024-10-27 12:39:00,SH901,3,23.94,web,applepay,completed,
ORD-000033,CUST-0166,2024-04-20 06:44:00,BK301,19,16.78,web,card,completed,WELCOME
ORD-000034,CUST-0068,2024-01-12 18:25:00,EL500,21,7.37,app,applepay,completed,WELCOME
ORD-000035,CUST-0010,2024-08-24 12:18:00,ST500,20,1.65,web,card,completed,
ORD-000036,CUST-0105,2024-01-30 18:50:00,BK302,9,34.27,web,card,pending,
ORD-000037,CUST-0421,2024-07-16 21:49:00,EL501,8,17.53,app,card,completed,
ORD-000038,CUST-0253,2024-12-04 16:37:00,PT010,5,6.57,store,applepay,completed,
ORD-000039,CUST-0458,2024-12-21 09:11:00,MG010,9,6.74,app,paypal,completed,
ORD-000040,CUST-0099,2024-05-07 05:09:00,MG010,13,6.5,partner,card,completed,
ORD-000041,CUST-0162,2024-10-25 02:02:00,PB024,17,1.31,store,paypal,completed,BULK15
ORD-000042,CUST-0076,2024-03-30 14:34:00,MG777,5,16.92,app,paypal,cancelled,WELCOME
ORD-000043,CUST-0184,2024-06-01 02:16:00,PT010,18,7.18,web,paypal,completed,
ORD-000044,CUST-0260,2024-09-29 19:34:00,SH900,18,17.32,store,card,completed,
ORD-000045,CUST-0372,2024-10-23 10:32:00,MG044,11,11.9,web,applepay,completed,VIP
ORD-000046,CUST-0170,2024-01-25 01:07:00,PB200,5,3.14,store,paypal,completed,VIP
ORD-000047,CUST-0355,2024-08-03 20:06:00,ST500,17,1.43,app,card,completed,SPRING10
ORD-000048,CUST-0289,2024-08-07 01:40:00,PT010,6,7.31,web,applepay,pending,
ORD-000049,CUST-0135,2024-08-11 12:40:00,NB050,4,4.02,app,card,completed,
ORD-000050,CUST-0420,2024-06-17 12:54:00,MG010,15,6.99,app,paypal,completed,BULK15
ORD-000051,CUST-0200,2024-06-17 18:31:00,NB050,2,4.08,store,paypal,completed,
ORD-000052,CUST-0070,2024-09-14 09:48:00,MG777,7,16.91,web,card,completed,WELCOME
ORD-000053,CUST-0443,2024-09-09 06:26:00,NB120,15,9.44,store,card,completed,VIP
ORD-000054,CUST-0421,2024-04-19 13:56:00,MG010,12,6.82,web,paypal,completed,WELCOME
ORD-000055,CUST-0023,2024-03-13 09:07:00,PT044,14,8.18,store,applepay,cancelled,SPRING10
ORD-000056,CUST-0416,2024-09-08 18:21:00,PB200,22,2.55,store,applepay,completed,BULK15
ORD-000057,CUST-0436,2024-06-03 18:39:00,PB200,13,2.82,web,paypal,completed,VIP
ORD-000058,CUST-0382,2024-03-03 21:14:00,SH902,-3,33.37,web,card,returned,VIP
ORD-000059,CUST-0118,2024-02-07 07:29:00,PT010,24,6.35,store,card,completed,WELCOME
ORD-000060,CUST-0291,2024-11-24 14:52:00,PB024,16,1.26,store,paypal,completed,BULK15
ORD-000061,CUST-0248,2024-02-13 15:37:00,PT044,9,9.67,web,card,completed,
ORD-000062,CUST-0286,2024-10-12 01:23:00,PT044,-1,8.78,app,paypal,returned,WELCOME
ORD-000063,CUST-0284,2024-05-09 22:16:00,SH900,8,16.12,store,card,completed,SPRING10
ORD-000064,CUST-0295,2024-09-11 09:51:00,MG777,20,17.19,web,card,cancelled,VIP
ORD-000065,CUST-0237,2024-05-05 18:04:00,MG010,17,6.22,app,paypal,completed,WELCOME
ORD-000066,CUST-0318,2024-06-22 05:38:00,EL500,23,7.28,web,paypal,cancelled,BULK15
ORD-000067,CUST-0243,2024-12-01 08:37:00,EL501,19,20.22,web,paypal,completed,VIP
ORD-000068,CUST-0008,2024-07-20 14:32:00,PB024,13,1.23,store,card,completed,
ORD-000069,CUST-0017,2024-07-20 01:32:00,SH902,20,38.21,web,applepay,completed,SPRING10
ORD-000070,CUST-0441,2024-10-31 08:27:00,SH900,19,15.85,partner,card,completed,SPRING10
ORD-000071,CUST-0419,2024-10-06 19:14:00,SH902,8,40.93,app,paypal,pending,BULK15
ORD-000072,CUST-0270,2024-03-29 17:14:00,NB120,10,10.63,app,paypal,completed,WELCOME
ORD-000073,CUST-0081,2024-09-11 03:37:00,SH901,12,25.91,web,card,completed,WELCOME
ORD-000074,CUST-0360,2024-05-29 09:17:00,NB050,1,4.76,web,paypal,completed,
ORD-000075,CUST-0066,2024-01-21 17:47:00,ST500,3,1.55,store,paypal,completed,
ORD-000076,CUST-0174,2024-06-22 23:40:00,BK300,23,8.95,app,card,completed,
ORD-000077,CUST-0152,2024-06-10 05:12:00,PB200,15,2.67,store,paypal,completed,WELCOME
ORD-000078,CUST-0006,2024-03-10 07:41:00,SH902,24,38.74,web,card,completed,
ORD-000079,CUST-0372,2024-08-01 08:56:00,ST500,11,1.28,web,applepay,cancelled,BULK15
ORD-000080,CUST-0235,2024-02-17 02:28:00,EL500,12,8.5,web,card,completed,SPRING10
ORD-000081,CUST-0146,2024-09-04 18:43:00,PT044,3,9.43,store,card,completed,
ORD-000082,CUST-0234,2024-07-19 18:43:00,EL503,6,114.5,web,applepay,completed,
ORD-000083,CUST-0001,2024-04-17 11:56:00,NB120,12,10.66,app,card,completed,SPRING10
ORD-000084,CUST-0202,2024-03-03 15:47:00,PT010,19,6.55,app,giftcard,completed,
ORD-000085,CUST-0240,2024-10-26 12:20:00,NB120,5,11.05,web,card,completed,
ORD-000086,CUST-0157,2024-04-24 09:22:00,ST500,15,1.42,app,card,completed,VIP
ORD-000087,CUST-0382,2024-10-30 06:59:00,EL500,17,8.33,app,card,completed,VIP
ORD-000088,CUST-0115,2024-04-11 15:12:00,SH902,6,41.23,partner,card,completed,
ORD-000089,CUST-0064,2024-04-06 23:24:00,BK302,-1,30.24,web,card,returned,BULK15
ORD-000090,CUST-0243,2024-09-05 18:21:00,PT044,22,8.24,app,card,completed,
ORD-000091,CUST-0409,2024-06-06 05:49:00,PB024,23,1.22,web,card,completed,
ORD-000092,CUST-0173,2024-11-26 02:11:00,EL502,22,46.56,store,card,completed,
ORD-000093,CUST-0022,2024-05-25 23:09:00,MG777,6,16.62,app,card,completed,
ORD-000094,CUST-0447,2024-07-22 17:57:00,PB200,7,3.05,web,card,completed,
ORD-000095,CUST-0205,2024-08-31 23:19:00,PB024,15,1.24,store,card,pending,WELCOME
ORD-000096,CUST-0080,2024-08-04 09:38:00,BK300,20,9.15,app,card,pending,
ORD-000097,CUST-0284,2024-11-21 10:44:00,PB200,3,3.24,web,card,completed,BULK15
ORD-000098,CUST-0148,2024-01-22 11:08:00,EL500,13,8.35,app,card,cancelled,
ORD-000099,CUST-0432,2024-02-17 07:21:00,ST500,13,1.54,web,card,completed,
ORD-000100,CUST-0136,2024-06-13 08:50:00,PT044,16,8.82,store,card,completed,
ORD-000101,CUST-0254,2024-06-04 03:59:00,PT044,23,9.74,app,giftcard,completed,SPRING10
ORD-000102,CUST-0250,2024-05-30 19:54:00,EL503,15,108.36,store,card,completed,WELCOME
ORD-000103,CUST-0112,2024-01-13 11:40:00,MG044,-4,14.69,store,card,returned,WELCOME
ORD-000104,CUST-0230,2024-03-25 22:40:00,PT010,20,6.62,store,paypal,completed,
ORD-000105,CUST-0051,2024-10-26 11:07:00,PB024,21,1.17,web,card,completed,
ORD-000106,CUST-0297,2024-07-11 21:55:00,EL502,24,46.97,web,card,cancelled,VIP
ORD-000107,CUST-0349,2024-09-28 05:19:00,ST500,10,1.39,web,applepay,completed,
ORD-000108,CUST-0438,2024-08-06 15:43:00,PB024,9,1.11,partner,paypal,completed,
ORD-000109,CUST-0150,2024-08-04 19:36:00,EL502,-3,46.12,partner,giftcard,returned,
ORD-000110,CUST-0132,2024-01-09 21:47:00,NB120,24,10.67,store,giftcard,completed,
ORD-000111,CUST-0253,2024-05-03 07:07:00,NB050,14,4.0,web,paypal,completed,WELCOME
ORD-000112,CUST-0319,2024-02-04 14:27:00,MG044,21,13.5,web,paypal,completed,VIP
ORD-000113,CUST-0457,2024-11-11 01:17:00,SH900,2,17.68,store,card,completed,
ORD-000114,CUST-0012,2024-02-29 19:40:00,EL503,18,109.61,web,applepay,completed,
ORD-000115,CUST-0110,2024-09-20 11:19:00,BK302,4,34.97,app,paypal,completed,VIP
ORD-000116,CUST-0121,2024-01-03 20:17:00,NB050,11,4.04,web,card,completed,BULK15
ORD-000117,CUST-0118,2024-09-26 12:39:00,BK300,17,8.91,web,card,cancelled,SPRING10
ORD-000118,CUST-0214,2024-03-10 12:53:00,EL503,2,104.37,app,paypal,completed,
ORD-000119,CUST-0402,2024-06-07 06:22:00,BK302,23,36.9,partner,card,cancelled,WELCOME
ORD-000120,CUST-0015,2024-02-08 08:39:00,PT010,14,7.06,store,applepay,completed,
ORD-000121,CUST-0376,2024-06-23 19:43:00,NB050,16,4.81,app,card,completed,VIP
ORD-000122,CUST-0285,2024-03-01 03:33:00,SH901,21,20.9,web,applepay,completed,SPRING10
ORD-000123,CUST-0283,2024-02-05 08:52:00,SH901,17,22.59,store,card,completed,BULK15
ORD-000124,CUST-0313,2024-04-30 21:01:00,MG044,12,12.17,app,paypal,completed,VIP
ORD-000125,CUST-0054,2024-01-22 17:44:00,NB050,16,4.01,app,card,completed,
ORD-000126,CUST-0344,2024-06-19 21:07:00,NB050,1,4.62,app,card,pending,VIP
ORD-000127,CUST-0115,2024-07-24 19:27:00,SH902,24,35.7,web,card,completed,
ORD-000128,CUST-0238,2024-08-24 06:38:00,ST500,18,1.35,web,card,completed,
ORD-000129,CUST-0312,2024-12-15 03:37:00,BK300,12,8.12,store,card,completed,VIP
ORD-000130,CUST-0278,2024-06-30 02:59:00,SH900,8,18.26,app,applepay,completed,VIP
ORD-000131,CUST-0149,2024-06-15 16:25:00,ST500,9,1.38,web,card,completed,
ORD-000132,CUST-0183,2024-04-11 17:01:00,BK302,18,31.63,web,paypal,completed,
ORD-000133,CUST-0220,2024-01-06 09:36:00,EL500,13,8.11,partner,paypal,completed,BULK15
ORD-000134,CUST-0019,2024-09-19 05:21:00,BK300,7,8.08,app,card,completed,VIP
ORD-000135,CUST-0334,2024-04-08 11:30:00,EL501,13,20.89,app,applepay,completed,VIP
ORD-000136,CUST-0046,2024-07-22 13:30:00,SH902,18,33.44,web,applepay,completed,BULK15
ORD-000137,CUST-0211,2024-06-25 15:17:00,BK301,3,17.07,partner,applepay,completed,VIP
ORD-000138,CUST-0302,2024-06-21 16:51:00,BK301,6,16.5,store,applepay,completed,
ORD-000139,CUST-0037,2024-12-28 10:44:00,EL501,14,17.3,app,paypal,completed,
ORD-000140,CUST-0458,2024-09-16 18:46:00,EL503,10,130.67,web,giftcard,completed,BULK15
ORD-000141,CUST-0174,2024-08-14 05:13:00,PT044,8,9.03,app,card,completed,VIP
ORD-000142,CUST-0008,2024-08-01 04:58:00,BK302,23,31.7,store,card,completed,
ORD-000143,CUST-0303,2024-03-23 09:13:00,PB200,16,2.69,store,paypal,completed,
ORD-000144,CUST-0257,2024-03-29 10:51:00,SH902,16,39.94,partner,card,completed,VIP
ORD-000145,CUST-0295,2024-05-18 19:48:00,EL503,13,117.41,app,paypal,completed,
ORD-000146,CUST-0346,2024-03-12 10:15:00,BK301,10,17.34,web,card,completed,
ORD-000147,CUST-0219,2024-01-29 12:45:00,PT044,22,9.17,app,card,completed,
ORD-000148,CUST-0381,2024-07-16 01:58:00,BK301,16,18.36,store,applepay,completed,
ORD-000149,CUST-0171,2024-03-16 07:34:00,MG044,-5,12.11,web,card,returned,
ORD-000150,CUST-0251,2024-09-16 23:54:00,SH900,1,18.48,web,card,completed,BULK15
ORD-000151,CUST-0073,2024-09-07 23:50:00,PT010,12,6.47,app,paypal,completed,SPRING10
ORD-000152,CUST-0286,2024-10-18 12:48:00,BK301,18,20.89,web,applepay,completed,VIP
ORD-000153,CUST-0121,2024-07-27 13:34:00,NB120,21,10.51,store,applepay,completed,BULK15
ORD-000154,CUST-0321,2024-04-15 13:36:00,SH900,23,16.12,web,card,completed,
ORD-000155,CUST-0369,2024-09-17 14:29:00,ST500,9,1.55,web,applepay,pending,
ORD-000156,CUST-0396,2024-07-15 11:35:00,EL501,24,20.56,web,paypal,pending,
ORD-000157,CUST-0428,2024-02-25 01:28:00,SH900,7,15.1,app,applepay,completed,BULK15
ORD-000158,CUST-0057,2024-02-03 04:10:00,MG777,13,18.76,store,card,completed,VIP
ORD-000159,CUST-0064,2024-12-05 02:27:00,PB200,24,3.2,app,card,completed,SPRING10
ORD-000160,CUST-0427,2024-09-26 23:22:00,MG777,21,17.81,app,card,completed,
ORD-000161,CUST-0176,2024-10-10 10:06:00,MG044,9,15.35,web,paypal,completed,VIP
ORD-000162,CUST-0012,2024-08-07 05:21:00,EL502,15,46.3,app,card,completed,
ORD-000163,CUST-0133,2024-10-31 20:57:00,ST500,16,1.32,partner,card,completed,BULK15
ORD-000164,CUST-0385,2024-01-22 07:33:00,BK301,24,19.92,store,paypal,cancelled,SPRING10
ORD-000165,CUST-0164,2024-01-30 18:25:00,BK301,21,20.24,web,card,completed,
ORD-000166,CUST-0036,2024-06-05 16:22:00,EL500,24,6.93,app,card,completed,
ORD-000167,CUST-0333,2024-05-14 10:18:00,PT010,5,6.04,web,card,pending,
ORD-000168,CUST-0090,2024-02-07 09:48:00,NB120,8,11.94,web,applepay,pending,
ORD-000169,CUST-0163,2024-05-20 23:11:00,MG010,8,5.75,web,paypal,completed,
ORD-000170,CUST-0002,2024-04-15 07:43:00,SH901,12,25.2,web,paypal,completed,WELCOME
ORD-000171,CUST-0277,2024-10-12 00:24:00,EL500,3,8.21,web,giftcard,completed,
ORD-000172,CUST-0205,2024-02-28 17:01:00,PT044,12,9.01,store,paypal,completed,VIP
ORD-000173,CUST-0399,2024-02-08 07:34:00,BK300,24,8.97,web,card,completed,
ORD-000174,CUST-0154,2024-11-17 11:52:00,PB200,24,3.22,store,paypal,completed,BULK15
ORD-000175,CUST-0095,2024-10-02 15:25:00,PB200,24,3.06,partner,giftcard,completed,SPRING10
ORD-000176,CUST-0077,2024-04-03 20:22:00,MG777,19,17.06,app,card,completed,
ORD-000177,CUST-0093,2024-02-09 05:43:00,EL503,15,105.76,app,paypal,cancelled,SPRING10
ORD-000178,CUST-0208,2024-10-15 11:51:00,EL503,13,104.04,store,card,completed,
ORD-000179,CUST-0041,2024-09-23 01:26:00,MG010,-2,5.76,web,applepay,returned,VIP
ORD-000180,CUST-0186,2024-01-14 02:57:00,SH902,18,37.47,web,paypal,pending,WELCOME
ORD-000181,CUST-0394,2024-01-09 00:17:00,BK302,20,30.04,app,giftcard,pending,BULK15
ORD-000182,CUST-0354,2024-06-06 22:36:00,PT044,18,8.44,store,paypal,completed,
ORD-000183,CUST-0294,2024-06-05 08:22:00,EL500,24,7.98,store,card,completed,WELCOME
ORD-000184,CUST-0411,2024-07-31 11:39:00,BK302,17,32.66,store,card,completed,SPRING10
ORD-000185,CUST-0359,2024-08-03 15:42:00,SH900,4,18.36,app,applepay,completed,
ORD-000186,CUST-0301,2024-09-14 15:12:00,SH900,12,18.33,app,card,completed,
ORD-000187,CUST-0398,2024-02-19 21:35:00,MG010,3,6.17,store,card,pending,
ORD-000188,CUST-0058,2024-09-07 00:56:00,EL502,20,43.29,store,paypal,cancelled,WELCOME
ORD-000189,CUST-0377,2024-07-10 00:01:00,MG777,8,19.18,app,card,cancelled,
ORD-000190,CUST-0136,2024-06-04 01:29:00,MG777,-4,18.47,partner,card,returned,
ORD-000191,CUST-0338,2024-03-18 00:26:00,EL501,18,19.13,store,card,completed,
ORD-000192,CUST-0421,2024-08-06 14:18:00,MG010,20,6.53,app,card,cancelled,SPRING10
ORD-000193,CUST-0229,2024-03-15 02:36:00,EL501,16,18.22,web,paypal,completed,
ORD-000194,CUST-0041,2024-01-15 07:41:00,PT010,8,7.17,web,card,completed,WELCOME
ORD-000195,CUST-0171,2024-09-07 22:16:00,EL503,23,112.12,store,card,completed,
ORD-000196,CUST-0188,2024-09-12 15:58:00,PT044,15,9.04,web,applepay,completed,
ORD-000197,CUST-0431,2024-03-30 03:16:00,SH900,23,17.97,app,card,completed,
ORD-000198,CUST-0434,2024-06-02 09:44:00,PB024,13,1.26,app,paypal,completed,BULK15
ORD-000199,CUST-0262,2024-12-28 21:29:00,PB024,2,1.21,store,card,completed,
ORD-000200,CUST-0438,2024-10-14 11:13:00,MG044,24,12.48,store,card,completed,
ORD-000201,CUST-0201,2024-08-25 02:59:00,BK300,16,8.18,store,paypal,pending,BULK15
ORD-000202,CUST-0190,2024-04-21 09:40:00,PB200,7,3.22,web,paypal,completed,
ORD-000203,CUST-0385,2024-08-06 12:43:00,EL502,1,42.14,web,giftcard,completed,
ORD-000204,CUST-0308,2024-11-21 00:40:00,NB050,6,3.96,app,card,completed,WELCOME
ORD-000205,CUST-0241,2024-02-27 11:05:00,MG777,10,19.02,web,card,completed,VIP
ORD-000206,CUST-0211,2024-11-17 09:26:00,PT044,2,9.13,app,card,completed,
ORD-000207,CUST-0325,2024-03-11 02:09:00,MG044,12,14.78,partner,card,completed,
ORD-000208,CUST-0347,2024-02-09 08:13:00,NB120,15,10.21,app,card,cancelled,
ORD-000209,CUST-0226,2024-12-09 18:06:00,EL502,23,40.56,app,applepay,completed,
ORD-000210,CUST-0015,2024-11-08 11:33:00,EL500,24,8.4,app,applepay,completed,
ORD-000211,CUST-0047,2024-08-12 12:57:00,PB024,5,1.18,store,card,completed,WELCOME
ORD-000212,CUST-0067,2024-04-29 13:34:00,NB050,9,4.57,web,card,completed,
ORD-000213,CUST-0213,2024-03-12 00:39:00,BK301,8,20.21,app,card,completed,
ORD-000214,CUST-0283,2024-11-06 08:44:00,EL503,8,112.72,web,card,completed,
ORD-000215,CUST-0370,2024-08-15 14:23:00,NB050,11,4.1,app,paypal,pending,
ORD-000216,CUST-0107,2024-10-03 09:43:00,PT010,12,6.24,web,applepay,pending,
ORD-000217,CUST-0362,2024-03-03 09:07:00,SH902,2,33.38,app,card,completed,
ORD-000218,CUST-0307,2024-07-09 19:29:00,NB050,11,4.7,store,card,pending,WELCOME
ORD-000219,CUST-0024,2024-04-05 05:09:00,MG010,19,6.99,web,card,cancelled,
ORD-000220,CUST-0162,2024-09-18 09:52:00,PB200,15,2.68,app,card,completed,
ORD-000221,CUST-0140,2024-04-12 20:23:00,SH901,22,24.11,web,giftcard,completed,
ORD-000222,CUST-0408,2024-08-14 05:10:00,EL500,13,7.84,web,applepay,cancelled,
ORD-000223,CUST-0424,2024-11-05 04:15:00,SH900,12,18.12,web,applepay,completed,WELCOME
ORD-000224,CUST-0377,2024-10-27 14:11:00,PT044,23,8.15,web,applepay,completed,
ORD-000225,CUST-0243,2024-02-13 23:29:00,SH900,-2,17.86,partner,card,returned,BULK15
ORD-000226,CUST-0227,2024-02-13 00:49:00,SH902,23,41.16,partner,paypal,pending,
ORD-000227,CUST-0144,2024-04-22 23:46:00,NB120,19,11.85,app,paypal,completed,SPRING10
ORD-000228,CUST-0356,2024-04-22 10:38:00,NB050,11,4.67,app,card,completed,
ORD-000229,CUST-0040,2024-11-03 06:18:00,NB120,15,10.33,store,card,completed,WELCOME
ORD-000230,CUST-0125,2024-06-06 10:39:00,MG777,5,18.72,store,paypal,completed,SPRING10
ORD-000231,CUST-0063,2024-03-15 02:57:00,EL500,5,7.5,app,applepay,completed,
ORD-000232,CUST-0228,2024-04-21 21:30:00,NB050,20,4.2,web,card,completed,
ORD-000233,CUST-0138,2024-04-08 21:03:00,MG010,19,6.48,app,applepay,completed,
ORD-000234,CUST-0091,2024-01-16 03:09:00,SH900,-3,15.44,partner,giftcard,returned,WELCOME
ORD-000235,CUST-0174,2024-12-11 17:13:00,NB120,13,9.8,web,giftcard,completed,SPRING10
ORD-000236,CUST-0397,2024-08-17 15:55:00,EL503,5,104.56,app,card,completed,BULK15
ORD-000237,CUST-0257,2024-03-06 21:30:00,ST500,17,1.43,web,card,cancelled,BULK15
ORD-000238,CUST-0379,2024-04-20 05:26:00,PT010,12,6.92,web,paypal,completed,
ORD-000239,CUST-0421,2024-08-02 01:15:00,PB200,22,3.07,app,card,completed,WELCOME
ORD-000240,CUST-0415,2024-04-12 13:41:00,PT044,12,9.38,web,card,completed,
ORD-000241,CUST-0162,2024-06-26 11:15:00,BK300,8,9.14,partner,paypal,completed,
ORD-000242,CUST-0404,2024-01-05 12:51:00,EL502,12,38.95,store,card,completed,SPRING10
ORD-000243,CUST-0419,2024-08-19 01:51:00,MG010,16,7.13,web,card,cancelled,
ORD-000244,CUST-0442,2024-05-19 07:09:00,PT044,23,8.74,store,giftcard,completed,SPRING10
ORD-000245,CUST-0162,2024-08-08 00:42:00,PT010,6,7.51,store,card,completed,
ORD-000246,CUST-0106,2024-10-03 08:00:00,PB200,4,3.07,app,applepay,completed,VIP
ORD-000247,CUST-0269,2024-07-17 20:23:00,PB200,22,3.3,app,card,pending,
ORD-000248,CUST-0429,2024-04-17 19:49:00,SH900,16,18.35,store,card,pending,BULK15
ORD-000249,CUST-0415,2024-01-17 13:29:00,BK301,13,19.35,web,card,completed,
ORD-000250,CUST-0263,2024-06-01 18:10:00,PB200,10,2.69,web,card,completed,BULK15
ORD-000251,CUST-0069,2024-03-21 22:23:00,PT010,17,6.44,web,card,pending,VIP
ORD-000252,CUST-0195,2024-07-20 14:34:00,ST500,23,1.29,web,applepay,completed,WELCOME
ORD-000253,CUST-0329,2024-08-26 11:53:00,MG777,5,16.67,app,applepay,completed,BULK15
ORD-000254,CUST-0258,2024-11-12 01:30:00,BK301,9,17.85,web,card,completed,VIP
ORD-000255,CUST-0159,2024-07-14 00:09:00,SH902,18,33.95,app,card,completed,WELCOME
ORD-000256,CUST-0158,2024-10-09 17:58:00,BK300,11,8.78,app,paypal,completed,
ORD-000257,CUST-0028,2024-03-14 14:09:00,MG044,12,14.02,store,card,completed,
ORD-000258,CUST-0133,2024-02-27 08:23:00,PT010,11,7.46,app,card,pending,SPRING10
ORD-000259,CUST-0308,2024-05-28 01:25:00,MG044,7,12.94,store,card,completed,VIP
ORD-000260,CUST-0112,2024-07-30 18:46:00,BK302,21,33.26,store,card,completed,
ORD-000261,CUST-0457,2024-01-16 00:45:00,BK302,11,31.52,web,card,completed,
ORD-000262,CUST-0038,2024-08-15 03:14:00,BK302,22,29.62,app,card,completed,BULK15
ORD-000263,CUST-0271,2024-08-23 02:11:00,BK301,23,16.92,web,paypal,completed,
ORD-000264,CUST-0229,2024-11-09 10:24:00,PB024,19,1.07,store,card,completed,BULK15
ORD-000265,CUST-0384,2024-05-01 01:13:00,BK301,12,16.98,app,card,completed,BULK15
ORD-000266,CUST-0409,2024-08-09 13:47:00,EL503,22,115.9,web,card,completed,BULK15
ORD-000267,CUST-0251,2024-10-27 21:17:00,BK301,24,19.68,web,card,completed,BULK15
ORD-000268,CUST-0290,2024-06-23 05:31:00,BK300,3,7.89,web,applepay,pending,BULK15
ORD-000269,CUST-0322,2024-05-09 21:03:00,PT010,16,6.12,store,paypal,completed,
ORD-000270,CUST-0240,2024-02-12 04:34:00,EL501,4,17.03,store,applepay,pending,
ORD-000271,CUST-0086,2024-09-14 16:35:00,SH901,-4,24.36,web,card,returned,
ORD-000272,CUST-0198,2024-12-27 03:53:00,PT044,17,10.28,web,card,completed,
ORD-000273,CUST-0112,2024-06-26 15:39:00,SH901,16,26.26,web,card,completed,VIP
ORD-000274,CUST-0214,2024-01-20 18:57:00,NB050,20,4.41,app,card,pending,SPRING10
ORD-000275,CUST-0283,2024-08-20 06:17:00,ST500,6,1.3,web,paypal,completed,WELCOME
ORD-000276,CUST-0097,2024-07-29 16:21:00,EL500,7,8.55,web,card,cancelled,WELCOME
ORD-000277,CUST-0115,2024-09-07 20:41:00,MG010,8,6.17,store,card,completed,
ORD-000278,CUST-0379,2024-12-27 08:23:00,EL501,4,19.47,app,card,pending,
ORD-000279,CUST-0174,2024-01-22 18:38:00,PB024,2,1.03,app,card,completed,VIP
ORD-000280,CUST-0092,2024-01-17 05:11:00,MG044,-3,12.41,app,card,returned,
ORD-000281,CUST-0329,2024-02-07 10:52:00,BK302,16,33.16,app,paypal,completed,
ORD-000282,CUST-0330,2024-05-05 02:23:00,PB200,4,3.25,app,giftcard,completed,VIP
ORD-000283,CUST-0381,2024-11-22 04:08:00,EL500,23,8.23,web,card,pending,
ORD-000284,CUST-0350,2024-11-06 15:59:00,EL502,16,41.14,web,card,completed,
ORD-000285,CUST-0457,2024-12-07 16:02:00,BK300,1,8.51,partner,card,completed,
ORD-000286,CUST-0265,2024-01-04 05:42:00,PT010,17,6.15,store,card,completed,
ORD-000287,CUST-0132,2024-06-15 02:02:00,EL500,17,7.92,app,paypal,completed,BULK15
